attendance,endurance,strength,flexibility,participation,skill_speed,physical_progress,score
88,45,54,42,75,79,91,69.69
78,42,41,73,88,51,54,58.77
64,53,88,48,87,60,89,70.92
92,91,78,63,77,67,78,80.02
57,86,54,38,60,59,74,58.39
70,65,50,60,80,64,82,61.61
88,89,36,44,87,36,79,66.03
68,51,44,33,67,61,50,51.68
72,32,75,76,97,55,58,68.12
60,65,86,75,77,64,41,68.13
60,65,69,61,89,52,65,65.84
73,39,77,46,96,56,65,64.54
85,50,62,34,88,38,53,59.97
89,78,44,74,75,87,62,69.42
73,38,47,68,58,54,47,58.35
52,81,56,62,76,59,55,62.59
71,77,68,57,74,36,80,64.96
51,89,50,42,72,93,58,61.98
73,79,42,33,61,65,52,58.88
93,68,91,57,72,86,83,83.67
79,45,54,42,85,61,64,61.7
87,57,44,57,58,36,40,56.24
51,35,89,88,63,74,89,64.94
70,90,63,74,86,35,47,63.68
82,35,83,86,61,92,57,73.98
61,69,84,64,98,80,93,81.19
71,91,86,69,94,31,85,75.78
93,57,87,53,72,91,78,75.4
74,76,76,38,86,94,40,72.69
98,38,64,36,68,35,54,57.28
76,81,94,66,80,44,56,72.39
91,44,94,87,99,70,70,85.85
77,63,58,65,56,46,76,62.59
65,49,36,51,88,66,61,53.06
64,89,68,32,96,72,71,72.49
96,87,76,37,73,51,62,69.23
93,31,55,33,96,76,94,63.4
52,79,68,72,88,67,68,67.26
86,43,66,71,92,39,68,75.66
56,85,64,31,92,65,45,60.36
70,73,48,82,86,53,66,70.81
58,75,53,75,78,83,84,72.67
88,35,64,69,79,76,58,66.75
67,37,92,35,79,57,77,67.49
53,68,75,86,93,62,65,68.66
74,73,61,51,83,94,89,74.59
63,56,50,32,87,75,65,60.35
99,45,59,46,76,45,63,64.75
58,68,88,39,81,72,85,66.71
75,30,59,53,81,71,44,63.51
51,80,58,76,88,63,88,75.64
69,92,94,89,83,87,64,81.89
77,62,37,69,95,39,58,63.67
96,79,58,68,72,65,61,65.94
56,83,45,57,64,61,88,66.4
93,56,66,68,91,38,67,78.18
57,48,57,74,91,47,77,65.65
96,57,46,59,59,90,73,69.86
84,52,91,57,70,39,44,64.79
63,93,73,33,91,74,90,78.44
66,68,55,47,83,80,45,66.74
85,78,71,68,86,71,71,74.75
99,88,86,32,99,75,54,79.78
89,49,68,75,82,81,55,69.41
53,90,55,30,88,70,88,75.44
51,38,60,62,81,71,86,62.3
55,52,70,45,94,70,50,58.62
91,36,83,75,87,44,80,70.6
53,60,84,59,58,60,80,72.76
78,89,93,87,73,38,69,72.29
67,90,68,69,76,40,56,68.8
75,55,43,84,77,68,40,61.97
93,83,52,62,78,91,53,66.19
83,60,78,65,90,82,68,71.36
59,70,76,89,57,44,47,64.35
85,57,73,60,59,52,63,63.22
63,35,64,65,84,38,94,59.94
80,63,37,65,63,42,60,55.54
97,38,84,76,68,76,43,70.22
64,41,90,77,55,87,63,70.49
57,45,94,39,87,84,86,75.6
63,60,36,51,65,79,69,59.85
72,62,91,57,74,43,46,61.31
89,36,37,65,69,47,56,58.6
70,32,49,61,88,31,50,58.24
65,49,75,75,81,48,94,72.23
94,34,37,42,73,63,71,60.84
67,67,91,63,89,93,80,80.0
96,85,72,30,74,52,62,68.77
73,52,77,45,81,50,85,66.63
75,31,68,56,62,65,52,62.24
74,50,51,51,94,70,88,71.79
94,43,37,60,96,91,82,71.71
90,91,41,77,92,86,53,80.23
78,40,65,58,62,72,56,58.81
64,33,44,51,85,51,55,54.83
94,76,85,36,67,81,87,76.81
50,49,69,84,76,42,42,57.39
74,81,62,69,78,86,65,74.88
56,45,89,33,86,67,80,66.35
58,74,89,43,94,83,47,71.78
73,37,54,72,61,49,52,51.92
50,91,35,86,68,71,73,66.77
93,50,76,46,72,59,47,64.04
57,93,47,30,69,72,46,60.39
73,59,42,78,81,88,86,76.65
60,65,58,31,91,38,57,56.28
66,34,56,47,55,67,43,51.77
57,67,61,32,69,87,59,62.89
84,48,81,85,76,76,94,78.85
84,56,67,50,64,73,92,68.79
82,42,94,42,80,86,92,76.66
54,38,60,78,78,50,59,58.88
91,46,78,76,69,57,42,64.82
88,73,37,56,99,91,44,68.85
90,74,94,87,69,78,43,81.18
77,71,64,89,68,89,49,78.36
56,80,94,32,64,65,66,71.88
58,87,72,34,87,40,67,60.0
57,87,44,86,99,33,93,71.49
61,59,40,66,80,64,69,60.92
83,34,51,67,71,91,80,71.78
82,37,93,77,70,48,42,68.26
97,66,41,31,71,72,49,63.03
72,76,93,59,65,68,81,74.56
73,74,48,35,84,59,66,60.11
86,34,68,56,66,39,61,53.98
84,92,90,42,68,30,85,73.56
93,76,80,34,70,43,91,71.51
89,54,40,81,70,35,58,59.97
71,79,67,87,65,31,65,67.4
76,74,52,54,88,68,63,70.59
84,59,40,85,57,45,56,56.77
50,77,52,56,91,42,40,57.11
84,80,64,45,86,63,89,76.98
86,84,38,77,77,32,71,60.23
96,84,59,36,71,79,41,69.37
63,75,80,81,96,76,86,81.3
52,60,37,72,66,40,83,56.87
50,63,80,32,89,50,92,63.4
54,62,39,44,84,72,82,64.32
75,85,80,46,86,52,40,72.0
63,87,85,32,56,72,78,67.23
88,86,74,31,88,35,52,68.01
76,46,92,75,74,42,60,58.37
58,40,39,34,63,59,74,58.43
64,46,44,53,95,30,76,53.16
64,39,79,60,89,72,42,70.6
75,55,72,65,76,77,59,66.19
91,35,88,73,84,72,73,67.99
62,45,54,36,82,66,68,61.56
81,33,76,54,58,35,80,63.31
88,91,47,72,99,73,66,73.98
98,93,93,49,96,46,48,73.65
81,85,86,82,82,41,88,73.6
53,52,76,54,88,61,71,65.27
79,62,35,31,73,58,87,63.0
86,60,88,31,87,63,61,75.11
72,36,64,39,90,56,84,68.41
88,34,70,79,73,30,65,63.16
94,66,79,78,76,81,88,79.82
64,30,72,35,91,59,81,59.97
92,74,42,40,86,72,59,71.01
78,76,43,78,77,38,66,64.61
85,59,75,58,83,46,60,64.2
62,89,80,59,84,31,91,73.57
81,53,67,50,68,73,80,63.3
56,60,71,56,81,94,40,63.96
71,57,94,76,77,86,87,79.52
77,74,89,71,55,32,88,66.97
51,33,83,65,89,81,57,69.37
91,90,40,74,86,88,57,74.79
94,68,51,62,90,56,72,69.08
55,53,88,76,67,66,92,68.55
77,75,57,56,83,30,94,70.46
77,82,71,85,70,31,66,69.61
93,77,36,66,74,52,56,62.93
93,38,52,35,95,69,91,70.47
69,51,72,68,93,50,74,69.75
79,31,62,37,94,61,89,62.87
60,45,48,41,94,70,74,65.62
77,34,56,76,91,78,51,70.07
74,41,35,32,81,44,61,52.09
88,81,77,83,86,44,40,72.56
82,55,76,38,65,51,88,67.7
50,44,81,72,74,39,83,59.68
76,88,75,81,77,45,77,72.07
62,68,73,41,88,81,44,64.54
90,92,78,69,74,56,89,84.92
52,54,42,75,61,31,56,45.34
88,70,61,77,61,60,40,64.73
55,57,44,32,72,77,74,65.27
57,50,68,62,94,90,46,69.07
76,90,88,79,70,90,80,86.93
58,86,80,42,81,58,55,64.51
86,40,75,41,65,34,91,64.97
82,48,67,66,83,40,50,62.36
91,30,82,36,94,34,55,61.9
93,61,93,35,57,50,85,67.75
73,63,71,70,97,68,74,74.24
64,46,42,33,60,58,73,57.39
81,84,64,52,75,75,70,70.02
81,48,54,33,87,69,47,55.92
73,71,35,32,84,50,87,63.93
90,88,89,67,71,67,63,76.19
98,67,83,56,94,65,94,81.99
98,60,41,40,91,42,87,72.68
61,79,92,58,74,58,51,68.12
88,59,45,58,73,50,45,62.96
